Year,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,Population,Life expectancy 
2015,263,62,0.01,65,1154,19.1,83,6,65,0.1,33736494,65
2014,271,64,0.01,62,492,18.6,86,58,62,0.1,327582,59.9
2013,268,66,0.01,64,430,18.1,89,62,64,0.1,31731688,59.9
2012,272,69,0.01,67,2787,17.6,93,67,67,0.1,3696958,59.5
2011,275,71,0.01,68,3013,17.2,97,68,68,0.1,2978599,59.2
2010,279,74,0.01,66,1989,16.7,102,66,66,0.1,2883167,58.8
2009,281,77,0.01,63,2861,16.2,106,63,63,0.1,284331,58.6
2008,287,80,0.03,64,1599,15.7,110,64,64,0.1,2729431,58.1
2007,295,82,0.02,63,1141,15.2,113,63,63,0.1,26616792,57.5
2006,295,84,0.03,64,1990,14.7,116,58,58,0.1,2589345,57.3
2005,291,85,0.02,66,1296,14.2,118,58,58,0.1,257798,57.3
2004,293,87,0.02,67,466,13.8,120,5,5,0.1,24118979,57
2003,295,87,0.01,65,798,13.4,122,41,41,0.1,2364851,56.7
2002,3,88,0.01,64,2486,13,122,36,36,0.1,21979923,56.2
2001,316,88,0.01,63,8762,12.6,122,35,33,0.1,2966463,55.3
2000,321,88,0.01,62,6532,12.2,122,24,24,0.1,293756,54.8
2015,74,0,4.6,99,0,58,0,99,99,0.1,28873,77.8
2014,8,0,4.51,98,0,57.2,1,98,98,0.1,288914,77.5
2013,84,0,4.76,99,0,56.5,1,99,99,0.1,289592,77.2
2012,86,0,5.14,99,9,55.8,1,99,99,0.1,2941,76.9
2011,88,0,5.37,99,28,55.1,1,99,99,0.1,295195,76.6
2010,91,1,5.28,99,10,54.3,1,99,99,0.1,291321,76.2
2009,91,1,5.79,98,0,53.5,1,98,98,0.1,2927519,76.1
2008,1,1,5.61,99,0,52.6,1,99,99,0.1,2947314,75.3
2007,9,1,5.58,98,22,51.7,1,99,98,0.1,29717,75.9
2006,99,1,5.31,98,68,5.8,1,97,97,0.1,2992547,74.2
2005,15,1,5.16,98,6,49.9,1,97,98,0.1,311487,73.5
2004,17,1,4.54,99,7,48.9,1,98,97,0.1,326939,73
2003,18,1,4.29,97,8,47.9,1,97,97,0.1,339616,72.8
2002,15,1,3.73,96,16,46.9,1,98,98,0.1,3511,73.3
2001,14,1,4.25,96,18,46,1,97,97,0.1,36173,73.6
2000,11,1,3.66,96,662,45,1,97,97,0.1,38927,72.6
2015,19,21,,95,63,59.5,24,95,95,0.1,39871528,75.6
2014,11,21,0.01,95,0,58.4,24,95,95,0.1,39113313,75.4
2013,112,21,0.53,95,25,57.2,24,95,95,0.1,38338562,75.3
2012,113,21,0.66,95,18,56.1,24,95,95,0.1,37565847,75.1
2011,116,21,0.56,95,112,55,24,95,95,0.1,36819558,74.9
2010,119,21,0.45,95,103,53.9,24,95,95,0.1,36117637,74.7
2009,123,20,0.5,94,107,52.8,23,94,95,0.1,3546576,74.4
2008,126,20,0.46,91,217,51.8,23,92,93,0.1,3486715,74.1
2007,129,20,0.44,9,0,5.8,23,95,95,0.1,34376,73.8
2006,132,20,0.36,8,944,49.8,23,95,95,0.1,33777915,73.4
2005,136,19,0.5,83,2302,48.9,22,88,88,0.1,33288437,72.9
2004,14,19,0.45,81,3289,47.9,23,86,86,0.1,3283196,72.3
2003,146,20,0.34,,15374,47,23,87,87,0.1,3243514,71.7
2002,145,20,0.36,,5862,46.1,23,86,86,0.1,3199546,71.6
2001,145,20,0.23,,2686,45.3,24,89,89,0.1,31592153,71.4
2000,145,21,0.25,,0,44.4,25,86,86,0.1,3118366,71.3
2015,335,66,,64,118,23.3,98,7,64,1.9,2785935,52.4
2014,348,67,8.33,64,11699,22.7,101,68,64,2,2692466,51.7
2013,355,69,8.1,77,8523,22.1,105,67,77,2.3,2599834,51.1
2012,358,72,8.24,75,4458,21.5,110,75,75,2.6,259615,56
2011,361,75,8.06,72,1449,21,115,73,71,2.5,24218565,51
2010,365,78,7.8,77,1190,2.4,121,81,77,2.5,23369131,49.6
2009,369,81,7.01,61,2807,19.8,127,63,6,2.5,22549547,49.1
2008,371,84,7.07,69,265,19.3,133,65,69,2.6,2175942,48.7
2007,375,87,6.35,73,1014,18.8,138,75,73,2.6,2997687,48.2
2006,381,90,5.84,,765,18.2,143,36,34,2.5,2262399,47.7
